report_time_simple,report_time,지점,주소,사고원인,lon,lat,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
2020-08-02 17:00:00,2020-08-02 17:05:00,인제,강원도 인제군 북면 용대리 산75,탈진·탈수,128.3651816,38.1886627,25.1,,1.3,,1.3,,180,,91,,28.9,23.5,983.9,,1006.6,,0,,,9,,,10,7,,7,2362,,,25.4,,,,,
2020-08-02 17:00:00,2020-08-02 17:05:00,인제,강원도 인제군 북면 용대리 산75,탈진·탈수,128.3651816,38.1886627,25.1,,1.3,,1.3,,180,,91,,28.9,23.5,983.9,,1006.6,,0,,,9,,,10,7,,7,2362,,,25.4,,,,,
2020-05-25 10:00:00,2020-05-25 10:19:00,속초,강원도 속초시 설악동 설악동 87,실족추락,128.4849533,38.1626862,21.7,,,,1.4,,140,,61,,15.8,13.8,1007.9,,1009.9,,0.8,,,9,,,9,0,,,2000,,,24.5,,,,,
2020-05-25 10:00:00,2020-05-25 10:19:00,속초,강원도 속초시 설악동 설악동 87,실족추락,128.4849533,38.1626862,21.7,,,,1.4,,140,,61,,15.8,13.8,1007.9,,1009.9,,0.8,,,9,,,9,0,,,2000,,,24.5,,,,,
2020-01-08 15:00:00,2020-01-08 15:02:00,인제,강원도 인제군 북면 용대리 산77,개인질환,128.3651816,38.1886627,6.9,,,9,3.1,,230,,75,,7.4,2.7,990.7,,1015.2,,0.4,,,9,,,9,4,,8,5010,,,9.7,,,,,
2020-07-03 08:00:00,2020-07-03 08:36:00,강릉,강원도 강릉시 연곡면 퇴곡리 634-1,기타산악,128.7171956,37.85498,22.2,,,,1.4,,50,,82,,21.8,18.9,1011.1,,1014.2,,0.5,,0.9,,,,5,2,,4,4921,,,22.7,,22.1,21.8,22.6,23
2020-08-20 08:00:00,2020-08-20 08:03:00,속초,강원도 속초시 설악동 설악동 216,실족추락,128.4849533,38.1626862,26.7,,,,1.2,,20,,83,,28.9,23.5,1009.9,,1011.9,,1,,,9,,,3,0,,,802,,,28.2,,,,,
2020-08-20 08:00:00,2020-08-20 08:03:00,속초,강원도 속초시 설악동 설악동 216,실족추락,128.4849533,38.1626862,26.7,,,,1.2,,20,,83,,28.9,23.5,1009.9,,1011.9,,1,,,9,,,3,0,,,802,,,28.2,,,,,
2020-10-08 11:00:00,2020-10-08 11:21:00,인제,강원도 인제군 북면 용대리 산75,실족추락,128.3651816,38.1886627,19.3,,,,2.7,,20,,47,,10.4,7.6,1005.5,,1029,,1,,,9,,,1,0,,,5009,,,30.6,,,,,
2020-10-08 11:00:00,2020-10-08 11:21:00,인제,강원도 인제군 북면 용대리 산75,실족추락,128.3651816,38.1886627,19.3,,,,2.7,,20,,47,,10.4,7.6,1005.5,,1029,,1,,,9,,,1,0,,,5009,,,30.6,,,,,
